Gregorian Date,Weekday,Tilburian Day (Year),Tilburian Cycle Year,Tilburian Day (Month),Tilburian Month,Festival
"Sunday, January 19, 2025",Sunday,309,14 Year of the Cabbage,14,mensis vagandi (Roving Month),
"Monday, January 20, 2025",Monday,310,14 Year of the Cabbage,15,mensis vagandi (Roving Month),
"Tuesday, January 21, 2025",Tuesday,311,14 Year of the Cabbage,16,mensis vagandi (Roving Month),
"Wednesday, January 22, 2025",Wednesday,312,14 Year of the Cabbage,17,mensis vagandi (Roving Month),
"Thursday, January 23, 2025",Thursday,313,14 Year of the Cabbage,18,mensis vagandi (Roving Month),
"Friday, January 24, 2025",Friday,314,14 Year of the Cabbage,19,mensis vagandi (Roving Month),
"Saturday, January 25, 2025",Saturday,315,14 Year of the Cabbage,20,mensis vagandi (Roving Month),
"Sunday, January 26, 2025",Sunday,316,14 Year of the Cabbage,21,mensis vagandi (Roving Month),
"Monday, January 27, 2025",Monday,317,14 Year of the Cabbage,22,mensis vagandi (Roving Month),
"Tuesday, January 28, 2025",Tuesday,318,14 Year of the Cabbage,23,mensis vagandi (Roving Month),
"Wednesday, January 29, 2025",Wednesday,319,14 Year of the Cabbage,24,mensis vagandi (Roving Month),
"Thursday, January 30, 2025",Thursday,320,14 Year of the Cabbage,25,mensis vagandi (Roving Month),
"Friday, January 31, 2025",Friday,321,14 Year of the Cabbage,26,mensis vagandi (Roving Month),
"Saturday, February 01, 2025",Saturday,322,14 Year of the Cabbage,27,mensis vagandi (Roving Month),
"Sunday, February 02, 2025",Sunday,323,14 Year of the Cabbage,28,mensis vagandi (Roving Month),
"Monday, February 03, 2025",Monday,324,14 Year of the Cabbage,29,mensis vagandi (Roving Month),
"Tuesday, February 04, 2025",Tuesday,325,14 Year of the Cabbage,30,mensis vagandi (Roving Month),
"Wednesday, February 05, 2025",Wednesday,326,14 Year of the Cabbage,31,mensis vagandi (Roving Month),
"Thursday, February 06, 2025",Thursday,327,14 Year of the Cabbage,32,mensis vagandi (Roving Month),
"Friday, February 07, 2025",Friday,328,14 Year of the Cabbage,33,mensis vagandi (Roving Month),
"Saturday, February 08, 2025",Saturday,329,14 Year of the Cabbage,34,mensis vagandi (Roving Month),
"Sunday, February 09, 2025",Sunday,330,14 Year of the Cabbage,35,mensis vagandi (Roving Month),
"Monday, February 10, 2025",Monday,331,14 Year of the Cabbage,36,mensis vagandi (Roving Month),
"Tuesday, February 11, 2025",Tuesday,332,14 Year of the Cabbage,37,mensis vagandi (Roving Month),
"Wednesday, February 12, 2025",Wednesday,333,14 Year of the Cabbage,38,mensis vagandi (Roving Month),
"Thursday, February 13, 2025",Thursday,334,14 Year of the Cabbage,39,mensis vagandi (Roving Month),
"Friday, February 14, 2025",Friday,335,14 Year of the Cabbage,40,mensis vagandi (Roving Month),
"Saturday, February 15, 2025",Saturday,336,14 Year of the Cabbage,41,mensis vagandi (Roving Month),
"Sunday, February 16, 2025",Sunday,337,14 Year of the Cabbage,42,mensis vagandi (Roving Month),
"Monday, February 17, 2025",Monday,338,14 Year of the Cabbage,43,mensis vagandi (Roving Month),
"Tuesday, February 18, 2025",Tuesday,339,14 Year of the Cabbage,44,mensis vagandi (Roving Month),
"Wednesday, February 19, 2025",Wednesday,340,14 Year of the Cabbage,45,mensis vagandi (Roving Month),
"Thursday, February 20, 2025",Thursday,341,14 Year of the Cabbage,46,mensis vagandi (Roving Month),
"Friday, February 21, 2025",Friday,342,14 Year of the Cabbage,47,mensis vagandi (Roving Month),
"Saturday, February 22, 2025",Saturday,343,14 Year of the Cabbage,48,mensis vagandi (Roving Month),
"Sunday, February 23, 2025",Sunday,344,14 Year of the Cabbage,49,mensis vagandi (Roving Month),
"Monday, February 24, 2025",Monday,345,14 Year of the Cabbage,50,mensis vagandi (Roving Month),
"Tuesday, February 25, 2025",Tuesday,346,14 Year of the Cabbage,51,mensis vagandi (Roving Month),
"Wednesday, February 26, 2025",Wednesday,347,14 Year of the Cabbage,52,mensis vagandi (Roving Month),
"Thursday, February 27, 2025",Thursday,348,14 Year of the Cabbage,53,mensis vagandi (Roving Month),
"Friday, February 28, 2025",Friday,349,14 Year of the Cabbage,54,mensis vagandi (Roving Month),
"Saturday, March 01, 2025",Saturday,350,14 Year of the Cabbage,55,mensis vagandi (Roving Month),
"Sunday, March 02, 2025",Sunday,351,14 Year of the Cabbage,56,mensis vagandi (Roving Month),
"Monday, March 03, 2025",Monday,352,14 Year of the Cabbage,57,mensis vagandi (Roving Month),
"Tuesday, March 04, 2025",Tuesday,353,14 Year of the Cabbage,58,mensis vagandi (Roving Month),
"Wednesday, March 05, 2025",Wednesday,354,14 Year of the Cabbage,59,mensis vagandi (Roving Month),
"Thursday, March 06, 2025",Thursday,355,14 Year of the Cabbage,60,mensis vagandi (Roving Month),
"Friday, March 07, 2025",Friday,356,14 Year of the Cabbage,61,mensis vagandi (Roving Month),
"Saturday, March 08, 2025",Saturday,357,14 Year of the Cabbage,62,mensis vagandi (Roving Month),
"Sunday, March 09, 2025",Sunday,358,14 Year of the Cabbage,63,mensis vagandi (Roving Month),
"Monday, March 10, 2025",Monday,359,14 Year of the Cabbage,64,mensis vagandi (Roving Month),
"Tuesday, March 11, 2025",Tuesday,360,14 Year of the Cabbage,65,mensis vagandi (Roving Month),
"Wednesday, March 12, 2025",Wednesday,361,14 Year of the Cabbage,66,mensis vagandi (Roving Month),
"Thursday, March 13, 2025",Thursday,362,14 Year of the Cabbage,67,mensis vagandi (Roving Month),
"Friday, March 14, 2025",Friday,363,14 Year of the Cabbage,68,mensis vagandi (Roving Month),
"Saturday, March 15, 2025",Saturday,364,14 Year of the Cabbage,69,mensis vagandi (Roving Month),
"Sunday, March 16, 2025",Sunday,365,14 Year of the Cabbage,70,mensis vagandi (Roving Month),
"Monday, March 17, 2025",Monday,366,14 Year of the Cabbage,71,mensis vagandi (Roving Month),
"Tuesday, March 18, 2025",Tuesday,367,14 Year of the Cabbage,72,mensis vagandi (Roving Month),
"Wednesday, March 19, 2025",Wednesday,368,14 Year of the Cabbage,73,mensis vagandi (Roving Month),
"Thursday, March 20, 2025",Thursday,369,14 Year of the Cabbage,74,mensis vagandi (Roving Month),
"Friday, March 21, 2025",Friday,370,14 Year of the Cabbage,75,mensis vagandi (Roving Month),
"Saturday, March 22, 2025",Saturday,371,14 Year of the Cabbage,76,mensis vagandi (Roving Month),
"Sunday, March 23, 2025",Sunday,372,14 Year of the Cabbage,77,mensis vagandi (Roving Month),
"Monday, March 24, 2025",Monday,373,14 Year of the Cabbage,78,mensis vagandi (Roving Month),
"Tuesday, March 25, 2025",Tuesday,374,14 Year of the Cabbage,79,mensis vagandi (Roving Month),
"Wednesday, March 26, 2025",Wednesday,375,14 Year of the Cabbage,80,mensis vagandi (Roving Month),
"Thursday, March 27, 2025",Thursday,376,14 Year of the Cabbage,81,mensis vagandi (Roving Month),
"Friday, March 28, 2025",Friday,377,14 Year of the Cabbage,82,mensis vagandi (Roving Month),
"Saturday, March 29, 2025",Saturday,378,14 Year of the Cabbage,83,mensis vagandi (Roving Month),
"Sunday, March 30, 2025",Sunday,379,14 Year of the Cabbage,84,mensis vagandi (Roving Month),
"Monday, March 31, 2025",Monday,380,14 Year of the Cabbage,85,mensis vagandi (Roving Month),Festival of Kupus Eve
