Gregorian Date,Weekday,Tilburian Day (Year),Tilburian Cycle Year,Tilburian Day (Month),Tilburian Month,Festival
"Tuesday, February 03, 2026",Tuesday,309,15 Year of the Cabbage,14,mensis vagandi,
"Wednesday, February 04, 2026",Wednesday,310,15 Year of the Cabbage,15,mensis vagandi,
"Thursday, February 05, 2026",Thursday,311,15 Year of the Cabbage,16,mensis vagandi,
"Friday, February 06, 2026",Friday,312,15 Year of the Cabbage,17,mensis vagandi,
"Saturday, February 07, 2026",Saturday,313,15 Year of the Cabbage,18,mensis vagandi,
"Sunday, February 08, 2026",Sunday,314,15 Year of the Cabbage,19,mensis vagandi,
"Monday, February 09, 2026",Monday,315,15 Year of the Cabbage,20,mensis vagandi,
"Tuesday, February 10, 2026",Tuesday,316,15 Year of the Cabbage,21,mensis vagandi,
"Wednesday, February 11, 2026",Wednesday,317,15 Year of the Cabbage,22,mensis vagandi,
"Thursday, February 12, 2026",Thursday,318,15 Year of the Cabbage,23,mensis vagandi,
"Friday, February 13, 2026",Friday,319,15 Year of the Cabbage,24,mensis vagandi,
"Saturday, February 14, 2026",Saturday,320,15 Year of the Cabbage,25,mensis vagandi,
"Sunday, February 15, 2026",Sunday,321,15 Year of the Cabbage,26,mensis vagandi,
"Monday, February 16, 2026",Monday,322,15 Year of the Cabbage,27,mensis vagandi,
"Tuesday, February 17, 2026",Tuesday,323,15 Year of the Cabbage,28,mensis vagandi,
"Wednesday, February 18, 2026",Wednesday,324,15 Year of the Cabbage,29,mensis vagandi,
"Thursday, February 19, 2026",Thursday,325,15 Year of the Cabbage,30,mensis vagandi,
"Friday, February 20, 2026",Friday,326,15 Year of the Cabbage,31,mensis vagandi,
"Saturday, February 21, 2026",Saturday,327,15 Year of the Cabbage,32,mensis vagandi,
"Sunday, February 22, 2026",Sunday,328,15 Year of the Cabbage,33,mensis vagandi,
"Monday, February 23, 2026",Monday,329,15 Year of the Cabbage,34,mensis vagandi,
"Tuesday, February 24, 2026",Tuesday,330,15 Year of the Cabbage,35,mensis vagandi,
"Wednesday, February 25, 2026",Wednesday,331,15 Year of the Cabbage,36,mensis vagandi,
"Thursday, February 26, 2026",Thursday,332,15 Year of the Cabbage,37,mensis vagandi,
"Friday, February 27, 2026",Friday,333,15 Year of the Cabbage,38,mensis vagandi,
"Saturday, February 28, 2026",Saturday,334,15 Year of the Cabbage,39,mensis vagandi,
"Sunday, March 01, 2026",Sunday,335,15 Year of the Cabbage,40,mensis vagandi,
"Monday, March 02, 2026",Monday,336,15 Year of the Cabbage,41,mensis vagandi,
"Tuesday, March 03, 2026",Tuesday,337,15 Year of the Cabbage,42,mensis vagandi,
"Wednesday, March 04, 2026",Wednesday,338,15 Year of the Cabbage,43,mensis vagandi,
"Thursday, March 05, 2026",Thursday,339,15 Year of the Cabbage,44,mensis vagandi,
"Friday, March 06, 2026",Friday,340,15 Year of the Cabbage,45,mensis vagandi,
"Saturday, March 07, 2026",Saturday,341,15 Year of the Cabbage,46,mensis vagandi,
"Sunday, March 08, 2026",Sunday,342,15 Year of the Cabbage,47,mensis vagandi,
"Monday, March 09, 2026",Monday,343,15 Year of the Cabbage,48,mensis vagandi,
"Tuesday, March 10, 2026",Tuesday,344,15 Year of the Cabbage,49,mensis vagandi,
"Wednesday, March 11, 2026",Wednesday,345,15 Year of the Cabbage,50,mensis vagandi,
"Thursday, March 12, 2026",Thursday,346,15 Year of the Cabbage,51,mensis vagandi,
"Friday, March 13, 2026",Friday,347,15 Year of the Cabbage,52,mensis vagandi,
"Saturday, March 14, 2026",Saturday,348,15 Year of the Cabbage,53,mensis vagandi,
"Sunday, March 15, 2026",Sunday,349,15 Year of the Cabbage,54,mensis vagandi,
"Monday, March 16, 2026",Monday,350,15 Year of the Cabbage,55,mensis vagandi,
"Tuesday, March 17, 2026",Tuesday,351,15 Year of the Cabbage,56,mensis vagandi,
"Wednesday, March 18, 2026",Wednesday,352,15 Year of the Cabbage,57,mensis vagandi,
"Thursday, March 19, 2026",Thursday,353,15 Year of the Cabbage,58,mensis vagandi,
"Friday, March 20, 2026",Friday,354,15 Year of the Cabbage,59,mensis vagandi,
"Saturday, March 21, 2026",Saturday,355,15 Year of the Cabbage,60,mensis vagandi,
"Sunday, March 22, 2026",Sunday,356,15 Year of the Cabbage,61,mensis vagandi,
"Monday, March 23, 2026",Monday,357,15 Year of the Cabbage,62,mensis vagandi,
"Tuesday, March 24, 2026",Tuesday,358,15 Year of the Cabbage,63,mensis vagandi,
"Wednesday, March 25, 2026",Wednesday,359,15 Year of the Cabbage,64,mensis vagandi,
"Thursday, March 26, 2026",Thursday,360,15 Year of the Cabbage,65,mensis vagandi,
"Friday, March 27, 2026",Friday,361,15 Year of the Cabbage,66,mensis vagandi,
"Saturday, March 28, 2026",Saturday,362,15 Year of the Cabbage,67,mensis vagandi,
"Sunday, March 29, 2026",Sunday,363,15 Year of the Cabbage,68,mensis vagandi,
"Monday, March 30, 2026",Monday,364,15 Year of the Cabbage,69,mensis vagandi,
"Tuesday, March 31, 2026",Tuesday,365,15 Year of the Cabbage,70,mensis vagandi,
"Wednesday, April 01, 2026",Wednesday,366,15 Year of the Cabbage,71,mensis vagandi,
"Thursday, April 02, 2026",Thursday,367,15 Year of the Cabbage,72,mensis vagandi,
"Friday, April 03, 2026",Friday,368,15 Year of the Cabbage,73,mensis vagandi,
"Saturday, April 04, 2026",Saturday,369,15 Year of the Cabbage,74,mensis vagandi,
"Sunday, April 05, 2026",Sunday,370,15 Year of the Cabbage,75,mensis vagandi,Easter Sunday of the Resurrection of the Lord
"Monday, April 06, 2026",Monday,371,15 Year of the Cabbage,76,mensis vagandi,Easter Octave
"Tuesday, April 07, 2026",Tuesday,372,15 Year of the Cabbage,77,mensis vagandi,Easter Octave
"Wednesday, April 08, 2026",Wednesday,373,15 Year of the Cabbage,78,mensis vagandi,Easter Octave
"Thursday, April 09, 2026",Thursday,374,15 Year of the Cabbage,79,mensis vagandi,Easter Octave
"Friday, April 10, 2026",Friday,375,15 Year of the Cabbage,80,mensis vagandi,Easter Octave
"Saturday, April 11, 2026",Saturday,376,15 Year of the Cabbage,81,mensis vagandi,Easter Octave
"Sunday, April 12, 2026",Sunday,377,15 Year of the Cabbage,82,mensis vagandi,Easter Octave
"Monday, April 13, 2026",Monday,378,15 Year of the Cabbage,83,mensis vagandi,
"Tuesday, April 14, 2026",Tuesday,379,15 Year of the Cabbage,84,mensis vagandi,
"Wednesday, April 15, 2026",Wednesday,380,15 Year of the Cabbage,85,mensis vagandi,Festival of Kupus Eve
